City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Buenos Aires,AR,2022-05-12 04:53:30,-34.6132,-58.3772,55.13,75,0,8.05
68,Gayny,RU,2022-05-12 04:54:29,60.3071,54.3241,49.57,52,63,12.15
69,Cidreira,BR,2022-05-12 04:54:30,-30.1811,-50.2056,58.91,84,6,10.18
70,Mahebourg,MU,2022-05-12 04:54:30,-20.4081,57.7,76.24,88,40,2.3
71,Bluff,NZ,2022-05-12 04:54:31,-46.6,168.3333,57.79,74,100,20.2
72,Hofn,IS,2022-05-12 04:54:31,64.2539,-15.2082,36.82,98,100,14.74
73,Arlit,NE,2022-05-12 04:54:32,18.7369,7.3853,84.13,14,0,8.99
74,Dudinka,RU,2022-05-12 04:54:32,69.4058,86.1778,31.62,100,97,8.32
75,Havre-Saint-Pierre,CA,2022-05-12 04:54:33,50.2334,-63.5986,41.36,81,0,6.91
76,Qixingtai,CN,2022-05-12 04:54:33,30.4135,111.8874,74.86,53,100,7.63
77,Esperance,AU,2022-05-12 04:54:34,-33.8667,121.9,64.98,66,100,11.23
78,Shellbrook,CA,2022-05-12 04:54:35,53.2168,-106.4011,47.43,57,36,4.29
79,Upernavik,GL,2022-05-12 04:54:35,72.7868,-56.1549,5.31,88,30,5.17
80,Ozark,US,2022-05-12 04:54:36,37.0209,-93.206,75.65,86,26,4.74
81,Cape Town,ZA,2022-05-12 04:54:36,-33.9258,18.4232,52.88,92,75,6.91
82,Paamiut,GL,2022-05-12 04:54:37,61.994,-49.6678,34.48,96,100,30.65
83,Victoria,HK,2022-05-12 04:53:09,22.2855,114.1577,80.65,92,100,8.99
84,Soyo,AO,2022-05-12 04:54:37,-6.1349,12.3689,75.25,89,97,3.89
85,New Norfolk,AU,2022-05-12 04:54:38,-42.7826,147.0587,59.92,66,100,0.74
86,Ushuaia,AR,2022-05-12 04:54:39,-54.8,-68.3,46.06,71,0,0.0
87,Prince Rupert,CA,2022-05-12 04:53:55,54.3161,-130.3201,46.49,81,75,4.61
88,Kaitangata,NZ,2022-05-12 04:54:40,-46.2817,169.8464,52.83,75,91,5.57
