City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Longyearbyen,SJ,78.2186,15.6401,28.24,69,75,2.3,broken clouds
80,Presidente Medici,BR,-11.1753,-61.9014,88.36,57,8,1.66,clear sky
81,Cherskiy,RU,68.75,161.3,32.49,99,100,4.88,snow
82,Nikolskoye,RU,59.7035,30.7861,49.89,80,27,6.96,scattered clouds
83,Grand Gaube,MU,-20.0064,57.6608,72.37,74,6,3.0,clear sky
84,Olonets,RU,60.9847,32.9698,43.21,80,97,5.08,overcast clouds
85,Chulym,RU,55.0997,80.9572,59.79,64,58,6.73,broken clouds
86,Witu,KE,-2.3889,40.4382,80.76,85,100,9.73,overcast clouds
87,Hobart,AU,-42.8794,147.3294,59.25,76,40,3.0,scattered clouds
88,Mount Isa,AU,-20.7333,139.5,53.37,82,10,0.0,clear sky
89,Hithadhoo,MV,-0.6,73.0833,83.1,68,93,9.42,overcast clouds
90,Natal,BR,-5.795,-35.2094,83.05,83,75,12.66,broken clouds
91,Nabire,ID,-3.3667,135.4833,75.02,87,57,2.28,broken clouds
92,Butaritari,KI,3.0707,172.7902,80.44,75,27,8.5,scattered clouds
93,Srednekolymsk,RU,67.45,153.6833,22.96,93,100,7.74,light snow
94,Ribeira Grande,PT,38.5167,-28.7,63.0,72,40,19.57,scattered clouds
95,Cajnice,BA,43.5575,19.0711,53.71,83,72,0.58,broken clouds
96,Najran,SA,17.4924,44.1277,76.14,16,58,2.75,broken clouds
97,Belaya Gora,RU,68.5333,146.4167,20.19,87,100,4.45,overcast clouds
98,Kijang,KR,35.2442,129.2139,58.42,33,100,4.5,overcast clouds
99,Banfora,BF,10.6333,-4.7667,94.3,29,100,0.78,overcast clouds
100,Monteria,CO,8.748,-75.8814,85.23,75,100,5.7,overcast clouds
101,Vao,NC,-22.6667,167.4833,73.44,73,64,18.77,broken clouds
102,Hilo,US,19.7297,-155.09,80.28,73,20,4.61,few clouds
103,Susehri,TR,40.1644,38.0867,59.38,59,100,1.9,overcast clouds
104,Ostrovnoy,RU,68.0531,39.5131,37.49,80,40,5.59,scattered clouds
105,Touros,BR,-5.1989,-35.4608,82.8,76,95,13.78,overcast clouds
106,San Cristobal,VE,7.7669,-72.225,80.78,50,49,7.58,scattered clouds
107,Chokurdakh,RU,70.6333,147.9167,6.93,97,100,1.83,overcast clouds
