City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
410,Davidson,US,86.29,scattered clouds,36.1501,-86.7833,Best Western Plus Music Row
411,Kavaratti,IN,81.81,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
413,Sur,OM,83.95,clear sky,22.5667,59.5289,Sur Plaza Hotel
425,Maceio,BR,80.04,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
427,Nouadhibou,MR,80.58,overcast clouds,20.931,-17.0347,El Medina
434,Lubao,PH,85.71,broken clouds,14.9167,120.55,Hacienda Gracia
436,Kilindoni,TZ,80.22,clear sky,-7.9139,39.6668,Bustani B&B
440,Upata,VE,89.19,overcast clouds,8.0086,-62.3989,Posada Villa Nela
444,Ruwi,OM,89.29,clear sky,23.5996,58.5507,Al Falaj Hotel
445,Kahului,US,80.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
448,Gboko,NG,82.67,broken clouds,7.3179,8.9951,Mavillah Apartment and Suites
449,Sao Jose Da Coroa Grande,BR,81.75,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
452,Aneho,TG,83.59,few clouds,6.2333,1.6,Hotel La Linette
457,Kloulklubed,PW,82.89,broken clouds,7.0419,134.2556,Storyboard Beach Resort
460,Gat,IL,83.39,broken clouds,31.61,34.7642,OlusHome
463,Itacoatiara,BR,84.04,overcast clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
467,Keti Bandar,PK,82.8,clear sky,24.1447,67.4497,Haji laloo memon house
473,Effingham,US,84.85,scattered clouds,32.3669,-81.3332,Countryside Village
475,Westport,US,81.45,broken clouds,41.1415,-73.3579,The Westport Inn
476,Correntina,BR,89.98,overcast clouds,-13.3433,-44.6367,Hotel Pousada dos Sonhos
488,Barras,BR,85.51,overcast clouds,-4.2444,-42.2944,Hotel Alvorada
496,Sann,PK,89.51,clear sky,26.0418,68.1378,New Sindhri Hotel
502,Nhamunda,BR,85.35,overcast clouds,-2.1861,-56.7131,Pousada Da Praia
503,Olinda,BR,83.93,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
507,Dubai,AE,80.53,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
509,Thap Than,TH,82.71,light rain,15.4606,99.8917,ขวัญเรือน ขำสุข
512,Russell,US,82.9,scattered clouds,32.3502,-85.1999,Macs
515,Vaitape,PF,81.27,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
517,Kavieng,PG,81.37,few clouds,-2.5744,150.7967,Nusa Island Retreat
519,Shelburne,CA,81.05,broken clouds,44.0787,-80.2041,The Retreat at the Farm
520,Saint-Michel-Des-Saints,CA,86.94,overcast clouds,46.6834,-73.9159,Motel Du Mont trinity
522,Santa Ines,BR,82.24,overcast clouds,-3.6667,-45.38,Palace hotel
525,Alibag,IN,86.07,broken clouds,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
532,Antonina,BR,80.73,overcast clouds,-25.4286,-48.7119,Hotel Capelista
540,Salalah,OM,86.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
541,Kudahuvadhoo,MV,83.26,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
546,Acapulco,MX,89.42,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
562,Qui Nhon,VN,80.87,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
573,Cap-Haitien,HT,80.46,overcast clouds,19.7578,-72.2042,Habitation Jouissant
574,Ca Mau,VN,80.8,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
579,Buena Vista,US,87.75,clear sky,43.4203,-83.8986,Red Roof Inn Saginaw - Frankenmuth
589,Tonj,SS,85.46,overcast clouds,7.2737,28.6822,Lakan Hotel
590,Aquiraz,BR,84.29,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
596,Kpandu,GH,80.67,broken clouds,6.9954,0.2931,Emo House
598,Hope Mills,US,80.38,few clouds,34.9704,-78.9453,"Holiday Inn Express & Suites Hope Mills-Fayetteville Arpt, an IHG Hotel"
600,Ocampo,MX,83.16,scattered clouds,21.65,-101.5,Hotel Estancia del Vaquero
609,Chapleau,CA,84.29,broken clouds,47.8405,-83.4034,Nemegosenda Lake Lodge
617,Tautira,PF,80.17,clear sky,-17.7333,-149.15,Pension Oaoa
634,Manaure,CO,89.15,broken clouds,11.7751,-72.4445,Hotel Palaaima
639,Narasannapeta,IN,83.43,broken clouds,18.4167,84.05,AVK events and catering
647,North Bay,CA,84.22,broken clouds,46.3168,-79.4663,"Holiday Inn Express & Suites North Bay, an IHG Hotel"
649,Pasni,PK,82.13,clear sky,25.2631,63.471,Kashmiri Hotal
657,Santa Isabel Do Rio Negro,BR,82.38,overcast clouds,-0.4139,-65.0192,Hotel GSA
659,Eirunepe,BR,82.65,overcast clouds,-6.6603,-69.8736,Atrás de você
668,Camocim,BR,81.93,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
